,Review,Rating
0,"A bit expensive when we compare with today's intel (11th gen) or AMD (Ryzen 5th gen) based windows Laptops with RTX 30 Graphics but this Apple M1 in terms of overall performance, it is far beyond what windows laptops can offer in same segment.

I won't compare it with windows laptops as we all are aware of it. This is more about M1 chip. People are worried about buying M1 version because of compatibility issues.
Don't worry, this processor is so powerful and in terms of compatibility, this ...",4
1,"Fantastic value for money machine!! Absolute beast as far as sheer performance is concerned that being super efficient on the battery.
1. Using it mainly for coding purposes, browsing and all that regular stuff. Haven’t played any games on it so I can’t comment on battery life and performance while gaming but with regular coding stuff like web development, mobile app development, web browsing etc the battery will easily last for 10+ hrs or even more.

2. Apple nailed the thermals on this mac...",5
2,"The best you can get, looks and performance both are to notch, supreme battery life, ultra fast speed. Display and sounds are fantastic, never seen any better till now. Till now it was, Apple was offering 7 at the price of 10, looks were alaways 10 out of 10 but now Apple is giving 15 at the price of 10.. Absolutely worth the price.",5
3,"Ultimate machine, best laptop I have ever used hands down. M1 macbook air is more powerful than any previous generation Mac or any Windows laptop. Awesome purchase. Thank you Flipkart",5
4,"For everyone, who is planning to buy MBA M1-

Pros-
Blazing fast- M1 is so ahead in performance
Battery is amazing (I use it entire day for work)
Build quality is top notch undoubtedly

Cons-
Webcam is grainy (no update has been able to fix it)- Not a major concern but for the price you pay it is indeed expected.
Color- I opted for Gold (after seeing all the images online), however it has a rose tint and looks pinkish in indoor lights. Its not gold-gold, its pinkish-gold.

P.S. I recently upg...",5
5,Got a timely delivery and a good product. Good purchase for the price. Keep in mind the softwares are upgrading to support M1 architecture. Overall very good product at a very competitive pricing.,5
6,"So it’s the best computer in the world rite now Period.
You don’t need to worry about anything and I’m not gonna say about performance cause there are a lot of videos on YouTube already and of course there are other upgrades you can do to your laptop may be you need pro but this is nothing less..
thanks to Flipkart for amazing and timely and secure delivery
Great service keep the good work and keep getting better👍🏼",5
7,"At the current scenario where a proper Graphics card windows laptop is costing around 1.2 lakh at a min.
This MacBook Air M1 is the best deal and I got it around 82k so I received the best deal.
So we can now say Apple Laptop is cheaper in price than Windows.",5
8,"The following is a detailed usage review.
First of all, I Thank Flipkart for the fast delivery, that too a day before the promised delivery date.
This is by far the best laptop you could get for the price range. As a person who have been a windows user all my life, MacOS is a totally different experience for me. The aluminium build, the performance, the display and the compactness of this machine has surprised me.

PROS:
1. The M1 Chip - This chip is the sole reason that narrowed me down to...",5
9,"If You are going to buy a laptop worth 85k go for it
No one can beat it from design,battery, performance,speakers
1. I never heard this type of loudness in speakers of any laptop
2. Built is awesome
3. What a top notch performance I am a software developer I use VScode, Postman,mongodb Compass, Chrome, Git they work like a charm
4. You will never face a Lag
5. I opened 30+ Chrome tabs with postman,VScode,mongodb Compass, with node server
And never faced an issue.
6. 2k Display is just awesom...",4
